title,article,category,price,availability,description,details,images,url
CoCon Advanced Speech Timers,,Программное обеспечение Cocon,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. CoCon Advanced Speech Timers — лицензия на ПО расширенного времени выступления. Позволяет создать шаблоны времени выступления и синхронизировать с повесткой дня. Обязательно наличие лицензии CoCon Discussion",Производитель: Televic | Наименование: <h3>CoCon Advanced Speech Timers</h3> | Партномер: <h3>CoCon Advanced Speech Timers</h3>,,https://risbar.kz/product/cocon-advanced-speech-timers/
CoCon Audio Routing,,Программное обеспечение Cocon,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. CoCon Audio Routing — лицензия на ПО маршрутизации и коммутации аудио сигналов. Данная лицензия позволяет управлять маршрутами сигнала между несколькими входами и выходами (Dante, Aux, микрофонные группы) с помощью визуальной матрицы. Удобная настройка параметров маршрутизации аудио: Группы компонентов аудиовхода и вывода (микрофоны, дополнительный вход/выход, вход/выход Dante и т. д.) Визуализация различных групп маршрутизации в виде матрицы Управление матрицей маршрутизации аудио Определение каналов переводчика на внешние каналы Настройка возможностей для ввода и вывода",Производитель: Televic | Наименование: <h3>CoCon Audio Routing</h3> | Партномер: <h3>CoCon Audio Routing</h3>,https://risbar.kz/wp-content/uploads/product/cocon-audio-routing-1.png,https://risbar.kz/product/cocon-audio-routing/
CoCon Authentication,,Программное обеспечение Cocon,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. CoCon Authentication — лицензия на ПО регистрации участников. Модуль управляет регистрацией делегатов, идентификацией и авторизацией для голосования (требуется модуль CoCon Voting) Этот модуль позволяет настроить совещание по принципу свободной рассадки. Данное ПО является расширением модуля CoCon Discussion",Производитель: Televic | Наименование: <h3>CoCon Authentication</h3> | Партномер: <h3>CoCon Authentication</h3>,https://risbar.kz/wp-content/uploads/product/cocon-authentication-1.png,https://risbar.kz/product/cocon-authentication/
CoCon Discussion,,Программное обеспечение Cocon,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. CoCon Discussion — лицензия на ПО управления микрофонами и базой данных делегатов. ПО клиент/сервер. Позволяет подготовить и администрировать процесс до и во время мероприятия. В пакет входят: CoCon Room Server — сервер соединяется с центральным блоком и обеспечивает управление всей системой. CoCon Room Configurator — rонфигуратор помещения позволяет создавать и редактировать план зала. CoCon Meeting Manager — менеджер совещаний позволяет создать базу данных со всей необходимой информацией, касающейся участников и собрания. CoCon Operator Application — приложение оператора используется для управления конференц-системой во время совещания. Протокол активности микрофон для интеграции с наведением камер. API для коммуникации с внешними системами управления",Производитель: Televic | Наименование: <h3>CoCon Discussion</h3> | Партномер: <h3>CoCon Discussion</h3>,https://risbar.kz/wp-content/uploads/product/cocon-discussion-1.png; https://risbar.kz/wp-content/uploads/product/cocon-discussion-2.jpg; https://risbar.kz/wp-content/uploads/product/cocon-discussion-3.jpg; https://risbar.kz/wp-content/uploads/product/cocon-discussion-4.jpg; https://risbar.kz/wp-content/uploads/product/cocon-discussion-5.jpg; https://risbar.kz/wp-content/uploads/product/cocon-discussion-6.jpg; https://risbar.kz/wp-content/uploads/product/cocon-discussion-2-550x318.jpg; https://risbar.kz/wp-content/uploads/product/cocon-discussion-3-550x352.jpg; https://risbar.kz/wp-content/uploads/product/cocon-discussion-4-550x352.jpg; https://risbar.kz/wp-content/uploads/product/cocon-discussion-5-550x352.jpg; https://risbar.kz/wp-content/uploads/product/cocon-discussion-6-550x352.jpg,https://risbar.kz/product/cocon-discussion/
CoCon Documentation,,Программное обеспечение Cocon,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. CoCon Documentation — лицензия на ПО документооборота. Только для мультимедийных пультов Разрешите пользователям просматривать, прокручивать и масштабировать документы на мультимедийных пультах. И дайте операторам возможность заблокировать все представления одного документа или использовать управляемую прокрутку. Упростите работу с документами: Загрузить PDF-файлы Редактировать атрибуты файла (имя, язык и т. д.) Удалить документы",Производитель: Televic | Наименование: <h3>CoCon Documentation</h3> | Партномер: <h3>CoCon Documentation (Multimedia only)</h3>,https://risbar.kz/wp-content/uploads/product/cocon-documentation-1.png,https://risbar.kz/product/cocon-documentation/
CoCon Fingerprint,,Программное обеспечение Cocon,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. Лицензия на ПО базы отпечатков пальцев. Позволяет собрать базу отпечатков пальцев и использовать в качестве авторизации на пультах с сенсором отпечатка пальца. До 4х отпечатков на одного делегата. Обязательно наличие лицензий CoCon Discussion и CoCon Authentication. Работает только для специализированных блоков uniCOS / uniBOX.",Производитель: Televic | Наименование: <h3>CoCon Fingerprint</h3> | Партномер: <h3>CoCon Fingerprint</h3>,,https://risbar.kz/product/cocon-fingerprint/
CoCon Import/Export,,Программное обеспечение Cocon,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. CoCon Import/Export — лицензия на ПО импорта/экспорта. Данный модуль обеспечивает дополнительны функционал по импорту в/из CoCon в различных форматах (XML, Word), а также расширенные функции печати. Требуется Cocon Discussion.",Производитель: Televic | Наименование: <h3>CoCon Import/Export</h3> | Партномер: <h3>CoCon Import/Export</h3>,https://risbar.kz/wp-content/uploads/product/cocon-importexport-1.png,https://risbar.kz/product/cocon-importexport/
CoCon Intercom,,Программное обеспечение Cocon,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. Лицензия ПО Cocon Intercom. Активирует функцию интеркома между пультами делегатов. Позволяют настроить до 25 соединений точка-точка. В дополнении возможно расширение на внешнюю систему интеркома через Dante каналы. Управление через API.",Производитель: Televic | Наименование: <h3>CoCon Intercom</h3> | Партномер: <h3>CoCon Intercom</h3>,,https://risbar.kz/product/cocon-intercom/
CoCon Interpretation,,Программное обеспечение Cocon,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. CoCon Interpretation — лицензия на ПО синхронного перевода. Позволяет использовать приложение переводчиков, настройку выбора канала, пульта переводчика, мониторинг будки/пульта переводчиков. Также позволяет задать будку и пульт переводчика в Room Configurator. Полный контроль над каждым пультом переводчика Televic Создание, сохранение и загрузка пресетов и конфигураций для легкого и быстрого доступа Импорт и экспорт настроек Быстрая настройка каналов Полное управление языками (все коды ISO 639-1 включены для быстрого доступа) Простая настройка маршрутизации звука (отключение канала, выбор номера кабины, маршрутизация звука во внешние системы)",Производитель: Televic | Наименование: <h3>CoCon Interpretation</h3> | Партномер: <h3>CoCon Interpretation</h3>,https://risbar.kz/wp-content/uploads/product/cocon-interpretation-1.png,https://risbar.kz/product/cocon-interpretation/
CoCon Messaging/ Services,,Программное обеспечение Cocon,0,Наличие:В наличии,"Описание Внимание! Для получения специальной цены на оборудование Televic — зарегистрируйте Ваш проект. Для этого отправьте данные (название и адрес проекта, дата реализации) на электронную почту office@h-t.media. Лицензия на ПО отправки сообщений и сервисных запросов. Только для мультимедийных пультов. Получите простой обмен сообщениями с помощью мультимедийных пультов: Создание кнопки для сервисных запросов, чтобы участники могли запрашивать услуги, не прерывая собрание Разрешайте отправку сообщений между делегатами Создавайте группы Ограничьте общение в случае необходимости",Производитель: Televic | Наименование: <h3>CoCon Messaging/ Services</h3> | Партномер: <h3>CoCon Messaging/ Services (Multimedia only)</h3>,https://risbar.kz/wp-content/uploads/product/cocon-messaging-services-1.png,https://risbar.kz/product/cocon-messaging-services/
